,frequency,index,word
0,-9.300181075975972,0,<start>
1,0.0,1,is
2,-0.11310933093914421,2,","
3,-0.44651564793852216,3,her
4,-1.2324048801970822,4,brow
5,-1.3208421807136448,5,.
6,-1.3208421807136448,6,'s
7,-1.3208421807136448,7,a
8,-1.3486217448207207,8,and
9,-1.373578476794588,9,his
10,-1.4861854009731816,10,lifted
11,-1.502068447146185,11,raised
12,-1.5337641779563165,12,lip
13,-1.6457378495058603,13,woman
14,-1.8328100090584125,14,are
15,-1.9038457821751642,15,lips
16,-1.9671580615894912,16,lid
17,-2.089362622503752,17,slightly
18,-2.169282245679626,18,sensibly
19,-2.1960369829884447,19,kind
20,-2.1960369829884447,20,of
21,-2.209271253895989,21,quite
22,-2.216793228350677,22,fairly
23,-2.2176325066206726,23,reasonably
24,-2.2269113585162623,24,inner
25,-2.2277591754386012,25,positively
26,-2.2880657816695926,26,cheek
27,-2.3341568888698596,27,chin
28,-2.3924257969938356,28,corner
29,-2.4075394348038834,29,somewhat
30,-2.4332477915140904,30,upper
31,-2.435333298005112,31,lightly
32,-2.508959613249787,32,outer
33,-2.5739476736172255,33,separated
34,-2.5847976896412916,34,stretched
35,-2.5982207099734325,35,down
36,-2.6031468283094883,36,man
37,-2.6205818901315894,37,parted
38,-2.838712899622255,38,mouth
39,-2.921754892324386,39,narrowed
40,-2.944073415280081,40,lowered
41,-2.9830163892286885,41,tightened
42,-3.027304069429805,42,nose
43,-3.0657703502576013,43,highly
44,-3.1517127800583253,44,significantly
45,-3.186498896143741,45,strongly
46,-3.2387241570479555,46,pushed
47,-3.241057880394176,47,spread
48,-3.373255050005562,48,marginally
49,-3.450856296029113,49,very
50,-3.4980627005989096,50,pulled
51,-3.5071674675918283,51,insignificantly
52,-3.630300152995453,52,nostril
53,-3.665391472806723,53,dimpling
54,-3.6725599622853355,54,creased
55,-3.770751988464549,55,wrinkled
56,-3.9968761679168967,56,pressed
57,-4.053157003815486,57,jaw
58,-4.053157003815486,58,depressed
59,-4.512689333193927,59,eyes
60,-4.599700710183556,60,inflated
61,-4.599700710183556,61,lower
62,-4.695010889987881,62,dilated
63,-4.918154441302091,63,fallen
64,-4.918154441302091,64,dropped
65,-5.388158070547826,65,blinking
66,-5.53898096028241,66,compressed
67,-5.8344451731762454,67,pursy
68,-5.967976565800768,68,puckered
69,-6.304448802421982,69,deepened
70,-6.304448802421982,70,nasolabial
71,-6.8152744261879725,71,puffed
72,-6.902285803177602,72,shut
73,-6.997595982981927,73,right
74,-6.997595982981927,74,gritted
75,-6.997595982981927,75,sideways
76,-6.997595982981927,76,head
77,-6.997595982981927,77,neck
78,-6.997595982981927,78,clenched
79,-7.102956498639752,79,closed
80,-7.102956498639752,80,up
81,-7.220739534296136,81,blown
82,-7.354270926920659,82,moving
83,-7.508421606747918,83,sucked
84,-7.913886714856082,84,constricted
85,-8.201568787307863,85,turned
